Label: t2																																																																																																	
Metric: Confluence v1.5																																																																																																	
Cell Type: 																																																																																																	
Passage: 1																																																																																																	
Notes: 																																																																																																	
																																																																																																	
Date Time	Elapsed	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9	A10	B10	C10	D10	E10	F10	G10	H10	A11	B11	C11	D11	E11	F11	G11	H11	A12	B12	C12	D12	E12	F12	G12	H12
03/03/16 12:42	0	8.85	4.22	5.67	6.95	2.91	5.08	3.77	6.66	7.14	11.7	17.6	16.4	3.61	5.49	8.72	5.94	6.21	19.6	17.4	16.9	6.03	4.81	5.83	6.01	17.2	14.1	15	18.1	11.6	8.21	10.9	7.97	8.06	13.5	10.9	29.2	5.6	7.57	7.67	3.59	7.45	11	11.9	10.6	5.47	5.44	5.59	2.83	4.85	5.66	7.25	11.4	4.07	4.93	3.93	2.45	9.23	17.6	14.1	17.7	9.19	8.05	8.24	4.51	10.3	15.5	24.9	16.4	8.34	9.83	6.46	5.95	7.59	16.1	13	18.1	8.15	6.89	7.48	3.36	10.7	12	12.8	11.8	10.2	8.85	5.83	3.73	6.86	7.79	9.32	6.56	3.05	14.2	4.84	2.79
03/03/16 15:42	3	9.54	5.84	6.19	7.76	3.36	5.19	4.23	8.93	8.1	13.1	18.6	17.9	3.81	6.42	10.2	6.91	6.89	21.3	19.1	18.9	6.81	5.57	6.7	6.63	18.7	15.8	16.1	23.7	13.5	9.01	12.9	8.49	8.81	14.7	11.6	31.7	6.61	7.9	9.15	4.12	8.13	11.7	13.2	11.5	6.38	5.96	5.86	2.77	5.61	6.7	7.89	13.5	4.87	5.15	4.16	2.84	11	20.1	16.4	19	10.6	9.34	9.07	6.59	10.9	17.9	26.9	20.2	9.22	10.6	6.98	6.86	8.99	19.6	14.8	21.2	10.1	7.98	8.54	4.5	11.5	12.7	13.4	12.5	11.1	9.82	6.93	3.9	7.79	8.32	10.7	7.07	3.55	14.6	6.48	3.54
03/03/16 18:42	6	10.6	6.9	6.51	8.49	3.72	5.77	4	9.51	8.52	13.7	24.9	19.5	4.28	6.72	11.1	7.52	7.58	26	21.1	20.8	7.36	6.47	7.4	6.44	19.9	17.4	16.1	21.3	13.2	9.73	12.9	8.92	10.1	15.3	11.4	34.5	7.52	8.79	9.46	4.47	8.99	12.3	13.7	12.2	6.52	5.78	6.37	2.97	5.97	6.9	8.3	14.7	4.96	5.04	4.17	2.67	11.5	21.5	17.6	21	12.1	10.3	9.99	7.35	11.8	18.6	27	21.7	10.5	11.9	8	7.02	9.61	19.4	15.9	24.4	11.6	8.99	9.4	4.8	11	13.5	13.4	13	13.4	11.1	7.3	5.05	8.21	8.27	10.7	7.28	3.92	6.42	7.56	3.76
03/03/16 21:42	9	11.6	7.64	7.36	9.09	4.07	6.22	4.67	9.39	9.08	15.5	24.7	21.2	4.73	7.29	11.9	7.88	8.22	29.7	25.3	25.2	8.42	7.03	7.86	7.31	21.9	19.1	17.4	26.5	15.1	9.34	14	10.3	10	15.6	10.9	35.4	7.97	9.28	10.5	5.08	9.73	12.8	14	13.1	6.71	6.14	6.87	4.48	6.27	7.21	9.29	16	4.71	5.55	4.59	3.17	11.9	25	19.5	24.6	13.3	11.4	12	7.78	12.7	19	28.6	21	11.1	13.7	8.32	7.59	10.1	19.8	16.2	26.1	12.7	10.1	11	5.24	12.3	13.3	14.2	13.5	15.4	11.9	8.27	5.38	7.88	8.83	10.3	7.63	4.44	7.07	6.98	3.53
04/03/16 00:42	12	13.4	7.33	7.81	9.38	4.31	6.54	5.66	10.3	9.74	15.7	27.9	24.5	5.38	8.45	14.4	8.47	9.35	31.5	26.9	28.4	9.32	7.89	9.15	8.07	25.3	21.2	17.5	29.4	15.6	10.3	15	11.2	12.1	17.7	11	38.5	8.44	9.73	10.3	5.68	10.7	14.1	15.8	14.5	7.21	6.53	7.02	4.53	7.35	8.41	10.4	18.1	5.1	5.2	4.46	3.05	12.7	26.6	21.5	27.6	13.3	13	12.4	8.54	14.1	20	29.2	26	12.8	14.8	9	8.91	11.3	19.8	17.7	28.8	14.5	11.4	11.7	5.9	13.1	15.3	16.1	15.2	15.3	12	8.98	7.87	8.54	8.86	10.3	7.32	5.19	12.9	7.8	3.82
04/03/16 03:42	15	14.1	7.54	8.04	10.2	4.46	6.87	6.34	9.65	10.5	17.7	28.3	28.7	6.09	9.08	15.6	9.1	10.1	33.1	28.8	30.3	10.4	8.67	9.95	8.96	26.6	22.4	17.9	30.9	17.2	10.5	15.7	11.3	12	17.5	10.7	34.9	9.52	10.4	10.6	6.21	11.7	14.2	17.5	15.6	7.81	6.7	7.02	4.96	7.94	8.83	11.2	20.3	5.43	5.52	4.92	2.87	14.1	28.9	24.9	29.2	14.8	13.3	13.9	8.68	14.4	21.6	30.9	28.1	14.4	16.2	9.83	9.13	12.7	20.4	18.2	29.1	14.6	12.7	13.4	7.39	13.3	14.4	16.7	14	18	12.4	9.68	7.18	8.03	8.67	11.4	8.17	5.85	8.28	9.57	3.81
04/03/16 06:42	18	16	8.77	8.29	11.3	5.35	8.63	8.03	10.1	11.8	18.5	31.5	30.7	7.64	9.78	17.3	9.98	11.1	35.4	31	31.9	11.5	8.9	10.9	9.2	28.3	25.7	17.9	30.8	16.8	11.8	16.5	13.2	13.2	18.5	10	36.5	9.63	11.1	13	7.86	13.2	14.8	17.2	16.8	8.71	7.35	7.86	4.85	8.98	9.7	12.4	25.5	5.72	5.7	4.87	3.31	14.9	30.7	28.2	31	16.9	15.6	14.9	9.51	16.6	25.5	33.6	29.8	16.1	18.6	12	9.49	14	25.4	20.4	32	15.5	14.5	14.7	8.18	15.6	15.6	17.8	15.2	20.3	13.7	10.4	7.83	8.26	8.59	10.9	8.86	6.02	8.45	9.11	4.13
04/03/16 09:42	21	16.6	9	8.19	11.4	5.84	8.98	8.63	10.7	12.4	20	33.9	33	8.37	10.2	19	11	12.1	37.9	31.9	33.5	13	9.98	11.6	10	29.7	26.7	18.8	32.2	17.8	12.9	17.4	14	13.7	19.8	9.94	41.7	10.2	12.6	11.6	8.11	14.6	15.2	18.6	17.5	8.99	7.76	8.55	5.38	9.98	10.9	13.5	27	6.19	6.13	5.45	3.34	16.1	32.5	29.3	32.4	18.6	16.1	17.2	10.4	17.7	27.9	36.9	31.7	18	19	12.7	10	15.1	27.3	21.1	34.1	18.5	15.5	16.5	8.93	17.5	17.9	19	16.9	20.9	14.7	12.1	8.72	8.64	9.28	12.5	9.15	6.67	8.23	9.4	4.3
04/03/16 12:42	24	18.3	10.6	9.09	12.3	6.7	8.79	9.51	11.4	13.8	21.3	34.2	33	9.97	11.5	21.6	12.1	12	40.8	35.2	36.8	14	10.8	13.2	10.8	32.3	28.7	20.1	34.3	18.5	14.1	18.5	14.4	13.5	21	9.56	42.8	10.4	14.4	11.6	8.81	15.5	16.3	19.2	20.1	9.82	8.24	9.41	5.41	10	12.2	14.9	30.1	6.54	6.11	5.83	3.14	17.3	34	32.6	34.9	18.7	17.8	19.7	11.7	18.2	30	34.6	33.6	19.2	20.2	13.8	10.4	15.6	27	22.2	37	20	16.5	18.7	9.59	18.7	18.9	19.9	16.1	22	16.1	13.5	9.06	10	9.23	10.6	8.73	8.03	8.58	10.4	4.66
04/03/16 15:42	27	18.3	10.1	9.93	13.3	7.09	10.8	10.2	13.3	14.4	21.6	36.5	34.3	10.5	12.9	23.9	13	12.9	42.3	37.2	38.1	15.3	11.2	14.9	10.6	32.2	30.3	24.3	36.4	21.3	16.4	20.3	15.6	13.7	21.8	9.37	44.2	11.8	14.2	14.2	9.02	17.4	18.1	20.5	24.9	10.6	8.85	9.87	6.31	11	13.1	16.1	32.8	7.09	7.14	6.16	3.39	19.1	36.5	33.8	37.5	21.6	20.5	21.9	13.3	19.2	32.2	38.5	35.3	22	22.7	15.4	11.5	17.3	31.2	26.6	39.8	21	20.3	20.3	10.2	20.7	20.6	21.1	18.9	26.6	18	14.8	9.83	10.4	9.87	11.6	8.9	7.17	14.7	10.4	4.43
